142420012432.89,-50989367679.02,151272520828.11,7.11	-106438141711.50,-177286330903.31,206783754526.69,3.02
143232476979.01,-48560769408.98,151240506436.38,7.12	-104439397166.53,-178443944914.58,206760318139.59,3.03
143995359899.83,-46144370617.14,151208354968.68,7.14	-102460658833.49,-179563330962.73,206739392557.45,3.04
144724355030.88,-43690554745.53,151175406442.57,7.16	-100470967267.17,-180662640090.87,206720595945.84,3.05
145404247479.85,-41250633817.34,151142350039.67,7.17	-98438665372.07,-181758744856.60,206703682047.71,3.06
146049028007.86,-38774506560.10,151108507176.20,7.19	-96427447676.99,-182817298516.75,206689180419.44,3.07
146645243694.89,-36313949806.52,151074585714.76,7.21	-94373655580.45,-183871811795.22,206676631578.11,3.08
147205168022.22,-33818436736.49,151039889286.74,7.23	-92341656272.01,-184889240223.06,206666428413.80,3.09
147722234865.40,-31314290252.44,151004779552.31,7.24	-90267132533.65,-185901791550.11,206658247639.40,3.11
148191653754.01,-28828189921.17,150969635279.68,7.26	-88215100515.12,-186877735148.80,206652345385.28,3.12
148623095705.18,-26309081517.10,150933734954.34,7.28	-86120608161.79,-187847964370.19,206648534638.36,3.13
149011352855.06,-23783569546.99,150897453457.95,7.29	-84049296744.78,-188782073675.26,206646934708.50,3.14
149356342065.22,-21252401925.27,150860801743.52,7.31	-81935603293.94,-189709630915.43,206647494901.85,3.15
149657993390.05,-18716327201.13,150823790860.18,7.33	-79845770223.68,-190601566568.42,206650197679.43,3.16
149916250061.99,-16176094318.09,150786431949.42,7.34	-77713647711.35,-191486112208.38,206655128678.88,3.17
150131068472.12,-13632452374.77,150748736241.24,7.36	-75606055196.49,-192335544939.67,206662133516.55,3.18
150302418146.18,-11086150386.83,150710715050.36,7.38	-73456280209.62,-193176749604.12,206671434140.88,3.19
150430281716.16,-8537937050.30,150672379772.40,7.39	-71331694955.94,-193983360224.89,206682739360.18,3.21
150514654887.32,-5988560506.23,150633741880.05,7.41	-69198966133.92,-194768613052.21,206696176898.09,3.22
150555546400.90,-3438768106.93,150594812919.20,7.43	-67024241916.35,-195544384182.52,206712010269.81,3.23
150552725294.27,-863027393.49,150555198880.06,7.45	-64875675874.61,-196286356200.62,206729743749.43,3.24
